product_id,category,price,past_sales,season,discount,demand
P1102,Clothing,153.81,132.0,festival,39,146.22
P1103,Clothing,458.33,46.0,winter,25,67.86
P1104,Clothing,231.01,44.0,summer,49,91.27
P1105,Home Decor,274.1,157.0,festival,14,139.31
P1106,Toys,373.22,146.0,winter,10,115.9
P1107,Home Decor,84.48,65.0,summer,44,114.22
P1108,Home Decor,242.32,128.0,winter,48,150.28
P1109,Toys,99.11,39.0,festival,28,97.15
P1110,Beauty,25.63,89.0,winter,47,115.37
P1111,Toys,231.92,53.0,summer,26,82.43
P1112,Home Decor,351.51,70.0,summer,22,87.59
P1113,Electronics,63.14,75.0,summer,44,98.86
P1114,Groceries,392.05,63.0,winter,23,78.01
P1115,Toys,344.16,63.0,winter,11,61.08
P1116,Clothing,82.02,81.0,festival,30,129.07
P1117,Groceries,23.39,37.0,summer,5,88.23
P1118,Electronics,10.33,100.0,festival,14,124.63
P1119,Toys,133.1,51.0,festival,46,143.07
P1120,Groceries,164.65,67.0,festival,27,135.84
P1121,Beauty,46.43,139.0,summer,1,115.47
P1122,Home Decor,371.38,120.0,festival,42,155.76
P1123,Electronics,349.0,23.0,summer,8,32.5
P1124,Toys,295.64,17.0,festival,19,73.37
P1125,Groceries,142.41,119.0,festival,2,136.32
P1126,Toys,301.09,136.0,summer,7,109.76
P1127,Electronics,202.91,123.0,winter,34,139.36
P1128,Beauty,261.17,157.0,winter,48,174.22
P1129,Groceries,445.71,110.0,summer,20,110.88
P1130,Electronics,430.62,40.0,summer,50,65.44
P1131,Toys,194.49,74.0,festival,26,124.69
P1132,Toys,452.75,97.0,summer,35,136.19
P1133,Toys,19.38,45.0,festival,49,132.11
P1134,Home Decor,307.5,72.0,summer,29,87.65
P1135,Home Decor,104.8,64.0,winter,19,99.85
P1136,Electronics,477.81,114.0,summer,37,99.13
P1137,Electronics,107.43,156.0,summer,9,128.81
P1138,Groceries,479.99,21.0,winter,12,66.36
P1139,Home Decor,384.28,58.0,summer,44,89.17
P1140,Clothing,75.79,153.0,summer,48,165.4
P1141,Electronics,274.84,90.0,festival,8,112.26
P1142,Clothing,153.65,99.0,festival,43,149.37
P1143,Clothing,471.24,74.0,summer,6,80.18
P1144,Electronics,211.48,137.0,summer,3,113.3
P1145,Clothing,174.95,92.0,festival,27,129.59
P1146,Groceries,390.46,151.0,festival,16,152.21
P1147,Home Decor,72.82,67.0,winter,6,101.72
P1148,Groceries,110.2,38.0,winter,8,84.38
P1149,Electronics,307.2,25.0,summer,23,60.68
P1150,Toys,372.87,,festival,18,127.5
P1151,Clothing,176.46,23.0,summer,40,94.94
P1152,Beauty,223.49,45.0,festival,14,76.72
P1153,Home Decor,233.46,130.0,summer,6,105.65
P1154,Groceries,365.28,148.0,summer,36,156.49
P1155,Clothing,176.62,,festival,9,120.5
P1156,Toys,376.81,80.0,festival,14,105.49
P1157,Toys,188.24,121.0,festival,37,160.6
P1158,Home Decor,214.3,88.0,festival,9,110.82
P1159,Home Decor,53.13,62.0,summer,34,112.95
P1160,Toys,390.85,62.0,summer,47,95.6
P1161,Toys,76.22,55.0,summer,14,89.24
P1162,Toys,476.84,93.0,festival,29,119.04
P1163,Home Decor,204.64,78.0,festival,34,116.93
P1164,Toys,468.48,103.0,winter,43,125.84
P1165,Toys,172.38,132.0,festival,12,130.79
P1166,Toys,384.22,156.0,festival,11,152.15
P1167,Beauty,150.35,59.0,festival,13,112.16
P1168,Home Decor,90.51,133.0,festival,18,154.62
P1169,Groceries,388.97,102.0,summer,5,76.38
P1170,Toys,312.88,37.0,winter,44,117.36
P1171,Toys,141.15,84.0,festival,45,142.24
P1172,Home Decor,279.67,40.0,winter,12,60.57
P1173,Home Decor,,30.0,festival,4,70.32
P1174,Electronics,,81.0,winter,18,93.81
P1175,Beauty,213.0,72.0,festival,16,95.85
P1176,Electronics,440.5,144.0,summer,46,122.76
P1177,Groceries,8.26,27.0,summer,22,92.05
P1178,Beauty,80.26,134.0,summer,3,111.22
P1179,Toys,202.08,94.0,summer,37,114.94
P1180,Home Decor,189.01,,winter,20,124.9
P1181,Electronics,94.74,38.0,summer,8,73.42
P1182,Toys,228.77,34.0,festival,46,101.42
P1183,Clothing,116.63,83.0,summer,33,106.81
P1184,Beauty,357.58,94.0,festival,23,93.73
P1185,Groceries,213.98,52.0,summer,38,116.81
P1186,Beauty,162.86,54.0,winter,22,98.52
P1187,Home Decor,448.1,127.0,summer,32,116.42
P1188,Beauty,37.27,84.0,festival,17,117.18
P1189,Electronics,56.79,75.0,summer,10,87.76
P1190,Home Decor,185.49,139.0,summer,12,128.5
P1191,Groceries,445.08,19.0,summer,47,69.94
P1192,Clothing,427.37,104.0,summer,49,145.8
P1193,Beauty,205.42,24.0,summer,16,69.95
P1194,Toys,253.33,39.0,festival,27,110.27
P1195,Clothing,71.0,109.0,winter,16,134.72
P1196,Groceries,209.07,100.0,winter,22,108.34
P1197,Clothing,170.0,54.0,winter,23,101.03
P1198,Clothing,178.1,95.0,summer,3,103.69
P1199,Clothing,113.55,128.0,winter,28,145.14
P1200,Toys,337.12,149.0,winter,50,183.57
P1201,Groceries,10.27,104.0,winter,1,115.97
P1202,Clothing,252.24,122.0,festival,10,112.03
P1203,Clothing,191.55,138.0,festival,28,155.6
P1204,Groceries,482.98,87.0,winter,3,84.75
P1205,Toys,192.24,32.0,festival,5,75.13
P1206,Home Decor,217.09,157.0,festival,47,189.67
P1207,Clothing,147.92,117.0,festival,15,147.11
P1208,Home Decor,88.39,82.0,festival,31,130.25
P1209,Beauty,264.95,150.0,winter,10,114.87
P1210,Electronics,207.26,29.0,festival,11,86.29
P1211,Beauty,320.04,67.0,,21,104.59
P1212,Clothing,27.88,159.0,,10,158.14
P1213,Beauty,420.04,147.0,festival,5,120.13
P1214,Beauty,287.18,92.0,festival,36,124.02
P1215,Clothing,101.17,89.0,summer,14,121.3
P1216,Groceries,488.14,117.0,festival,31,160.77
P1217,Toys,275.4,154.0,winter,45,153.53
P1218,Clothing,185.91,81.0,winter,9,101.73
P1219,Clothing,465.9,136.0,winter,31,118.54
P1220,Electronics,261.75,156.0,summer,33,154.71
P1221,Toys,39.16,36.0,summer,9,77.42
P1222,Home Decor,401.89,105.0,summer,44,133.18
P1223,Home Decor,119.16,74.0,summer,22,103.02
P1224,Groceries,165.8,93.0,summer,9,113.87
P1225,Home Decor,91.09,118.0,festival,47,146.79
P1226,Home Decor,222.84,90.0,winter,14,94.06
P1227,Toys,299.73,49.0,summer,11,93.71
P1228,Groceries,241.98,83.0,festival,36,142.35
P1229,Groceries,321.86,42.0,winter,43,117.09
P1230,Beauty,190.49,112.0,festival,30,138.4
P1231,Clothing,114.02,101.0,winter,38,134.48
P1232,Groceries,142.11,123.0,festival,28,183.6
P1233,Groceries,268.46,42.0,summer,45,105.1
P1234,Beauty,80.53,66.0,winter,19,95.21
P1235,Electronics,42.41,76.0,festival,24,130.7
P1236,Electronics,126.45,79.0,festival,17,112.39
P1237,Clothing,377.88,40.0,summer,16,74.39
P1238,Beauty,124.11,58.0,winter,27,106.53
P1239,Beauty,499.42,83.0,festival,31,104.83
P1240,Clothing,15.78,81.0,summer,29,123.13
P1241,Clothing,419.61,158.0,winter,5,102.35
P1242,Beauty,445.83,159.0,festival,8,148.54
P1243,Electronics,177.56,159.0,festival,28,150.66
P1244,Beauty,206.22,23.0,festival,3,75.98
P1245,Toys,138.24,148.0,festival,46,163.46
P1246,Clothing,482.54,49.0,summer,28,77.06
P1247,Electronics,387.75,98.0,festival,19,119.19
P1248,Home Decor,27.01,97.0,festival,10,115.93
P1249,Electronics,375.56,37.0,winter,18,62.41
P1250,Clothing,323.99,84.0,festival,37,146.1
P1251,Beauty,128.97,158.0,festival,37,197.17
P1252,Groceries,236.2,44.0,summer,12,71.46
P1253,Electronics,142.87,32.0,summer,12,60.2
P1254,Toys,204.4,47.0,festival,13,93.64
P1255,Groceries,459.36,104.0,summer,43,147.18
P1256,Toys,312.51,140.0,summer,27,131.08
P1257,Beauty,225.08,23.0,festival,44,108.27
P1258,Groceries,65.98,123.0,,50,177.45
P1259,Electronics,395.15,154.0,winter,46,140.22
P1260,Electronics,399.25,90.0,summer,23,104.36
P1261,Toys,322.01,110.0,winter,24,134.13
P1262,Home Decor,395.59,141.0,summer,30,132.45
P1263,Clothing,173.73,49.0,festival,30,111.14
P1264,Clothing,285.25,46.0,festival,30,95.46
P1265,Clothing,203.05,75.0,summer,48,109.37
P1266,Home Decor,443.77,140.0,festival,15,140.67
P1267,Electronics,21.37,64.0,summer,48,109.33
P1268,Toys,229.17,,winter,3,83.36
P1269,Home Decor,292.68,33.0,summer,7,42.47
P1270,Beauty,112.19,63.0,summer,6,94.9
P1271,Groceries,73.21,91.0,summer,42,143.34
P1272,Clothing,264.89,142.0,festival,47,166.14
P1273,Beauty,399.91,128.0,summer,13,111.83
P1274,Beauty,429.35,62.0,festival,44,134.75
P1275,Groceries,455.62,,festival,15,89.43
P1276,Electronics,314.78,105.0,,47,143.1
P1277,Groceries,227.84,22.0,summer,20,64.43
P1278,Beauty,416.24,122.0,summer,23,129.02
P1279,Home Decor,464.56,149.0,festival,25,151.16
P1280,Groceries,244.94,25.0,winter,26,95.44
P1281,Toys,97.0,76.0,winter,11,101.41
P1282,Clothing,23.82,126.0,festival,10,137.85
P1283,Home Decor,168.51,72.0,festival,32,103.09
P1284,Electronics,380.0,146.0,winter,25,145.32
P1285,Toys,137.33,107.0,summer,29,135.39
P1286,Clothing,467.0,107.0,festival,16,113.06
P1287,Electronics,492.93,80.0,winter,50,118.18
P1288,Groceries,283.9,61.0,winter,8,99.72
P1289,Home Decor,170.69,91.0,summer,6,74.07
P1290,Groceries,280.56,48.0,festival,9,97.36
P1291,Groceries,39.95,16.0,summer,2,72.01
P1292,Groceries,226.79,37.0,festival,34,104.03
P1293,Clothing,95.87,101.0,summer,46,154.3
P1294,Beauty,302.92,,festival,48,171.16
P1295,Toys,118.41,121.0,winter,2,113.42
P1296,Electronics,308.32,78.0,festival,32,126.84
P1297,Beauty,304.88,115.0,winter,12,96.99
P1298,Groceries,,75.0,summer,28,85.56
P1299,Toys,476.35,88.0,festival,0,78.49
P1300,Electronics,46.45,155.0,winter,3,126.71
P1301,Toys,83.56,111.0,winter,37,119.69
P1302,Home Decor,161.61,83.0,winter,47,145.25
P1303,Toys,,101.0,summer,48,159.5
P1304,Home Decor,126.92,69.0,festival,30,120.36
P1305,Home Decor,82.09,80.0,festival,4,97.59
P1306,Clothing,148.28,83.0,festival,26,126.54
P1307,Clothing,476.86,51.0,winter,33,66.91
P1308,Electronics,346.27,35.0,summer,6,48.23
P1309,Groceries,264.76,53.0,winter,14,72.42
P1310,Electronics,14.78,109.0,summer,23,117.13
P1311,Electronics,268.98,44.0,winter,30,70.46
P1312,Toys,393.15,76.0,summer,42,94.85
P1313,Toys,395.48,87.0,summer,32,99.21
P1314,Clothing,80.2,79.0,winter,40,137.8
P1315,Clothing,167.36,15.0,festival,24,96.06
P1316,Beauty,256.0,152.0,summer,2,110.04
P1317,Groceries,135.35,142.0,festival,25,177.92
P1318,Clothing,269.12,139.0,winter,46,152.49
P1319,Toys,106.49,118.0,winter,34,139.97
P1320,Home Decor,360.64,66.0,summer,23,78.48
P1321,Clothing,450.84,77.0,summer,17,87.24
P1322,Toys,72.33,,festival,15,100.7
P1323,Beauty,496.46,85.0,festival,17,92.06
P1324,Beauty,14.95,40.0,festival,3,74.84
P1325,Toys,142.76,134.0,summer,1,114.63
P1326,Clothing,169.34,70.0,summer,16,92.42
P1327,Groceries,464.83,21.0,festival,25,91.51
P1328,Groceries,448.59,125.0,festival,8,125.45
P1329,Clothing,54.42,149.0,festival,50,198.46
P1330,Groceries,401.22,19.0,festival,40,118.71
P1331,Home Decor,28.89,110.0,winter,22,123.89
P1332,Groceries,,142.0,summer,46,142.19
P1333,Clothing,255.32,22.0,summer,7,54.97
P1334,Clothing,485.13,134.0,summer,0,84.0
P1335,Beauty,91.63,47.0,winter,41,112.31
P1336,Toys,362.75,31.0,winter,13,54.22
P1337,Groceries,135.21,25.0,winter,33,90.6
P1338,Electronics,297.12,41.0,summer,17,60.18
P1339,Beauty,,60.0,festival,44,130.85
P1340,Toys,474.17,31.0,festival,17,69.22
P1341,Electronics,450.0,139.0,summer,12,119.74
P1342,Groceries,330.49,109.0,summer,22,119.74
P1343,Groceries,165.52,151.0,summer,18,140.58
P1344,Clothing,197.87,68.0,summer,9,79.25
P1345,Electronics,270.68,159.0,summer,39,156.19
P1346,Electronics,398.49,90.0,festival,17,105.75
P1347,Groceries,53.65,79.0,winter,28,120.77
P1348,Groceries,317.44,119.0,festival,47,159.94
P1349,Home Decor,281.65,117.0,summer,11,106.03
P1350,Groceries,354.26,42.0,summer,15,61.36
P1351,Electronics,151.82,43.0,summer,49,117.12
P1352,Home Decor,366.41,58.0,summer,31,63.04
P1353,Groceries,240.05,49.0,festival,24,113.59
P1354,Home Decor,449.88,77.0,winter,31,89.81
P1355,Toys,149.44,54.0,winter,8,79.13
P1356,Toys,206.41,19.0,summer,38,62.45
P1357,Groceries,290.23,75.0,summer,25,116.12
P1358,Electronics,347.36,35.0,winter,10,41.54
P1359,Toys,42.02,89.0,summer,37,131.89
P1360,Toys,51.75,140.0,festival,15,126.14
P1361,Groceries,217.71,56.0,winter,40,128.88
P1362,Clothing,33.46,36.0,festival,14,103.86
P1363,Clothing,213.94,23.0,summer,18,77.58
P1364,Beauty,187.6,59.0,summer,2,68.98
P1365,Groceries,425.05,29.0,festival,12,80.57
P1366,Electronics,30.08,125.0,festival,17,136.07
P1367,Beauty,13.38,59.0,winter,30,115.18
P1368,Home Decor,301.45,32.0,winter,11,46.29
P1369,Beauty,281.49,123.0,summer,15,116.12
P1370,Toys,272.42,156.0,winter,46,158.46
P1371,Clothing,466.28,125.0,summer,6,102.57
P1372,Groceries,41.76,145.0,festival,2,148.88
P1373,Beauty,296.4,82.0,festival,16,89.05
P1374,Electronics,380.01,111.0,winter,19,109.4
P1375,Toys,289.21,23.0,winter,2,54.14
P1376,Clothing,323.64,110.0,festival,14,116.21
P1377,Beauty,142.39,137.0,summer,26,134.85
P1378,Clothing,369.14,100.0,summer,45,123.48
P1379,Beauty,433.14,20.0,winter,36,72.97
P1380,Beauty,191.7,35.0,summer,46,89.21
P1381,Toys,409.34,139.0,summer,19,107.98
P1382,Electronics,,73.0,summer,47,107.06
P1383,Toys,253.31,43.0,festival,1,75.67
P1384,Beauty,470.65,55.0,summer,33,86.62
P1385,Toys,66.77,51.0,winter,4,77.38
P1386,Groceries,113.84,47.0,winter,17,98.11
P1387,Groceries,82.29,154.0,festival,46,208.22
P1388,Home Decor,347.72,104.0,festival,26,131.47
P1389,Groceries,14.1,132.0,,25,168.0
P1390,Beauty,192.64,51.0,winter,2,64.7
P1391,Toys,253.65,30.0,winter,32,107.77
P1392,Toys,236.15,18.0,summer,44,100.09
P1393,Groceries,305.14,61.0,winter,20,99.1
P1394,Groceries,282.33,159.0,summer,32,149.87
P1395,Beauty,430.61,149.0,festival,6,123.6
P1396,Clothing,9.92,26.0,summer,30,98.12
P1397,Clothing,385.69,107.0,winter,45,141.04
P1398,Beauty,208.17,147.0,summer,47,171.47
P1399,Toys,378.7,86.0,winter,1,63.22
P1400,Beauty,444.23,111.0,winter,46,123.32
P1401,Beauty,105.16,69.0,winter,43,131.76
P1402,Toys,466.46,154.0,summer,45,132.07
P1403,Home Decor,126.73,159.0,summer,4,123.43
P1404,Beauty,236.49,90.0,winter,31,134.81
P1405,Electronics,,56.0,,44,117.02
P1406,Toys,424.4,130.0,festival,3,95.49
P1407,Toys,464.06,45.0,winter,20,76.81
P1408,Electronics,201.89,136.0,winter,28,132.9
P1409,Electronics,290.81,71.0,summer,23,85.26
P1410,Clothing,254.48,83.0,winter,6,84.2
P1411,Clothing,,54.0,festival,7,94.93
P1412,Clothing,133.52,49.0,festival,24,116.9
P1413,Home Decor,438.43,40.0,festival,8,75.97
P1414,Toys,270.11,141.0,festival,1,136.63
P1415,Clothing,121.13,66.0,festival,8,93.01
P1416,Electronics,431.4,51.0,summer,49,84.97
P1417,Electronics,260.05,148.0,winter,41,148.92
P1418,Electronics,75.24,122.0,festival,8,127.47
P1419,Clothing,172.37,95.0,winter,13,115.13
P1420,Electronics,53.81,117.0,winter,15,126.72
P1421,Toys,109.49,127.0,festival,9,149.66
P1422,Groceries,47.75,119.0,festival,28,174.57
P1423,Toys,266.35,78.0,festival,33,129.97
P1424,Groceries,227.07,25.0,festival,4,74.92
P1425,Beauty,444.61,37.0,festival,2,62.3
P1426,Home Decor,74.53,89.0,summer,24,114.94
P1427,Groceries,348.41,49.0,summer,35,88.68
P1428,Home Decor,372.0,136.0,summer,11,107.94
P1429,Toys,342.31,124.0,winter,39,145.34
P1430,Clothing,128.42,101.0,summer,32,131.19
P1431,Electronics,437.63,45.0,summer,35,63.39
P1432,Home Decor,221.83,55.0,winter,5,75.4
P1433,Toys,490.53,149.0,festival,37,156.51
P1434,Home Decor,230.0,121.0,summer,27,124.12
P1435,Clothing,141.07,90.0,festival,18,122.53
P1436,Home Decor,111.04,78.0,summer,18,97.08
P1437,Home Decor,195.08,55.0,winter,21,93.37
P1438,Electronics,220.39,151.0,festival,10,137.56
P1439,Beauty,59.29,75.0,summer,21,90.66
P1440,Electronics,313.76,149.0,summer,45,136.11
P1441,Clothing,143.09,35.0,,20,79.02
P1442,Electronics,169.9,28.0,winter,23,80.67
P1443,Home Decor,70.41,43.0,summer,7,57.07
P1444,Home Decor,487.45,158.0,summer,20,124.65
P1445,Electronics,81.42,76.0,festival,50,149.86
P1446,Home Decor,287.36,23.0,festival,31,87.13
P1447,Beauty,84.25,134.0,winter,12,129.0
P1448,Beauty,87.23,159.0,summer,6,135.74
P1449,Beauty,,64.0,winter,35,126.84
P1450,Beauty,240.12,142.0,festival,37,158.7
P1451,Electronics,117.46,33.0,festival,41,106.25
P1452,Groceries,479.19,62.0,festival,33,100.39
P1453,Toys,,43.0,festival,17,87.81
P1454,Home Decor,299.35,155.0,summer,5,114.12
P1455,Electronics,98.19,52.0,winter,23,105.25
P1456,Toys,329.72,88.0,festival,34,108.61
P1457,Beauty,56.96,119.0,summer,30,136.55
P1458,Toys,308.32,94.0,summer,30,125.88
P1459,Beauty,240.66,134.0,,33,141.38
P1460,Home Decor,128.47,135.0,winter,14,117.93
P1461,Beauty,47.12,124.0,summer,38,143.79
P1462,Clothing,356.8,116.0,summer,39,122.36
P1463,Toys,241.33,31.0,festival,29,99.35
P1464,Toys,193.97,139.0,festival,23,136.36
P1465,Beauty,355.4,119.0,festival,31,134.88
P1466,Toys,384.24,70.0,festival,22,91.25
P1467,Clothing,459.98,129.0,festival,12,134.13
P1468,Groceries,251.8,128.0,festival,23,152.1
P1469,Home Decor,225.42,35.0,winter,12,67.15
P1470,Toys,,74.0,summer,3,65.56
P1471,Clothing,435.59,16.0,festival,46,98.42
P1472,Beauty,64.04,53.0,summer,12,90.71
P1473,Home Decor,231.18,123.0,,27,122.14
P1474,Electronics,237.03,138.0,festival,45,156.03
P1475,Groceries,104.15,22.0,festival,48,137.72
P1476,Home Decor,99.85,,festival,1,84.58
P1477,Toys,230.04,83.0,festival,32,122.07
P1478,Toys,171.53,54.0,summer,40,100.35
P1479,Electronics,71.41,105.0,winter,35,140.61
P1480,Home Decor,362.91,29.0,summer,25,73.86
P1481,Beauty,157.24,101.0,winter,8,117.59
P1482,Clothing,358.16,107.0,festival,7,105.96
P1483,Toys,68.9,72.0,winter,9,93.2
P1484,Beauty,491.26,147.0,summer,6,107.17
P1485,Toys,55.33,24.0,festival,9,91.21
P1486,Home Decor,492.42,112.0,,24,111.28
P1487,Beauty,257.56,105.0,summer,47,121.35
P1488,Groceries,365.69,23.0,summer,7,50.58
P1489,Toys,280.29,85.0,summer,35,122.51
P1490,Home Decor,466.44,28.0,summer,27,58.83
P1491,Beauty,213.02,27.0,festival,0,60.29
P1492,Home Decor,397.0,65.0,festival,49,101.26
P1493,Home Decor,146.05,25.0,summer,16,58.36
P1494,Electronics,405.45,115.0,summer,50,113.93
P1495,Beauty,63.16,34.0,winter,26,85.63
P1496,Clothing,182.76,153.0,summer,36,161.17
P1497,Electronics,64.5,142.0,summer,28,139.3
P1498,Electronics,280.08,83.0,festival,21,107.69
P1499,Electronics,159.9,54.0,summer,28,76.74
P1500,Electronics,174.64,25.0,winter,3,40.84
P1501,Electronics,480.16,60.0,summer,30,70.76
P1502,Home Decor,270.41,133.0,winter,7,113.23
P1503,Electronics,54.36,38.0,summer,9,72.94
P1504,Groceries,181.55,28.0,winter,31,105.98
P1505,Beauty,380.1,153.0,festival,25,154.2
P1506,Clothing,499.71,61.0,summer,4,64.34
P1507,Beauty,43.21,,winter,47,132.67
P1508,Clothing,370.83,57.0,summer,44,97.58
P1509,Groceries,356.18,,winter,40,97.47
P1510,Groceries,117.73,138.0,winter,3,129.63
P1511,Toys,180.86,63.0,winter,26,113.2
P1512,Electronics,85.54,64.0,festival,9,90.23
P1513,Groceries,388.73,62.0,winter,20,85.52
P1514,Groceries,183.31,,winter,28,105.6
P1515,Home Decor,178.34,54.0,summer,29,90.97
P1516,Home Decor,74.44,115.0,festival,18,148.09
P1517,Clothing,257.57,120.0,summer,21,125.81
P1518,Electronics,434.21,153.0,summer,24,123.47
P1519,Toys,472.71,90.0,winter,22,111.69
P1520,Electronics,372.3,156.0,summer,44,142.85
P1521,Toys,41.86,91.0,festival,42,154.0
P1522,Beauty,,132.0,winter,44,148.21
P1523,Home Decor,34.76,83.0,winter,15,101.33
P1524,Beauty,431.5,23.0,festival,25,81.82
P1525,Clothing,50.49,141.0,,44,176.72
P1526,Electronics,129.97,95.0,festival,38,144.95
P1527,Groceries,301.35,60.0,summer,13,77.66
P1528,Groceries,342.1,142.0,summer,35,127.36
P1529,Beauty,8.49,19.0,winter,1,53.44
P1530,Electronics,397.59,145.0,summer,13,126.36
P1531,Clothing,398.17,25.0,festival,31,75.12
P1532,Beauty,279.75,78.0,winter,23,87.32
P1533,Clothing,466.6,57.0,festival,28,81.8
P1534,Toys,376.87,96.0,festival,11,113.86
P1535,Beauty,308.13,68.0,festival,6,86.77
P1536,Clothing,211.7,71.0,festival,49,134.71
P1537,Home Decor,252.31,77.0,winter,41,139.75
P1538,Home Decor,485.86,117.0,festival,22,124.55
P1539,Toys,384.57,91.0,winter,26,120.52
P1540,Beauty,61.42,88.0,winter,47,147.28
