date,product_id,category,state,city,store_format,season,price,discount,past_sales,stock_on_hand,reorder_level,lead_time_days,demand
2023-10-24,IN-SKU-10043,FMCG,Delhi NCR,Noida,Convenience Store,festival,319.73,26,23.0,201,57,6,160.1
2025-11-27,IN-SKU-10044,Perishables,Kerala,Kochi,Online,festival,223.14,18,53.0,418,97,6,171.65
2025-05-02,IN-SKU-10045,Electronics,Delhi NCR,Delhi,Convenience Store,summer,18430.92,4,47.0,378,136,7,8.0
2024-05-11,IN-SKU-10046,FMCG,Maharashtra,Nagpur,Online,summer,307.35,31,30.0,22,45,10,125.96
2025-12-10,IN-SKU-10047,Home Care,Tamil Nadu,Coimbatore,Supermarket,winter,616.65,9,298.0,328,61,10,239.55
2024-05-04,IN-SKU-10048,FMCG,Maharashtra,Pune,Hypermarket,summer,344.25,8,209.0,360,56,6,196.27
2023-02-28,IN-SKU-10049,Personal Care,Telangana,Hyderabad,Online,winter,573.7,11,36.0,266,54,6,105.36
2024-05-17,IN-SKU-10050,FMCG,Tamil Nadu,Chennai,Supermarket,summer,441.71,7,157.0,333,118,7,181.21
2024-05-04,IN-SKU-10051,Perishables,Maharashtra,Mumbai,Convenience Store,summer,201.94,38,214.0,396,104,4,238.79
2025-01-27,IN-SKU-10052,FMCG,Kerala,Kozhikode,Supermarket,winter,150.4,19,111.0,191,127,2,179.41
2025-11-30,IN-SKU-10053,FMCG,Kerala,Kochi,Convenience Store,festival,166.57,16,30.0,187,85,10,181.15
2023-04-15,IN-SKU-10054,Personal Care,Karnataka,Bengaluru,Convenience Store,summer,608.04,23,114.0,334,78,7,132.18
2024-08-03,IN-SKU-10055,Staples,Karnataka,Mysuru,Convenience Store,monsoon,581.27,14,296.0,221,159,3,219.22
2023-09-27,IN-SKU-10056,Staples,Telangana,Warangal,Supermarket,monsoon,88.6,34,272.0,42,155,9,282.67
2024-06-18,IN-SKU-10057,Home Care,Telangana,Warangal,Supermarket,summer,634.21,12,276.0,168,101,8,197.53
2025-01-02,IN-SKU-10058,Electronics,Maharashtra,Pune,Online,winter,21767.07,14,113.0,295,149,5,28.35
2025-10-11,IN-SKU-10059,FMCG,Karnataka,Bengaluru,Hypermarket,festival,102.96,0,69.0,354,101,8,178.67
2023-08-08,IN-SKU-10060,FMCG,Delhi NCR,Noida,Hypermarket,monsoon,197.92,40,44.0,322,157,4,193.33
2025-10-04,IN-SKU-10061,Electronics,Maharashtra,Mumbai,Supermarket,festival,7018.51,7,107.0,216,71,3,105.26
2023-01-16,IN-SKU-10062,Home Care,Maharashtra,Mumbai,Convenience Store,winter,,9,221.0,325,152,5,170.44
2025-03-26,IN-SKU-10063,Home Care,Karnataka,Mysuru,Hypermarket,summer,594.98,13,275.0,221,94,8,214.84
2023-05-12,IN-SKU-10064,Staples,Delhi NCR,Gurugram,Hypermarket,summer,108.51,13,139.0,386,179,2,182.34
2023-01-10,IN-SKU-10065,FMCG,Kerala,Kochi,Online,winter,221.01,7,112.0,259,64,5,167.17
2023-07-06,IN-SKU-10066,Electronics,Tamil Nadu,Coimbatore,Convenience Store,monsoon,13709.79,25,248.0,381,132,10,119.05
2024-11-14,IN-SKU-10067,FMCG,Tamil Nadu,Chennai,Convenience Store,festival,217.64,35,185.0,281,174,7,262.43
2023-06-18,IN-SKU-10068,Home Care,Telangana,Warangal,Hypermarket,summer,162.99,30,32.0,330,113,4,151.42
2025-07-31,IN-SKU-10069,Staples,Kerala,Kochi,Convenience Store,monsoon,96.32,40,186.0,340,117,3,236.6
2023-09-19,IN-SKU-10070,FMCG,Maharashtra,Mumbai,Supermarket,monsoon,315.25,15,233.0,329,133,8,210.71
2024-03-07,IN-SKU-10071,Perishables,Tamil Nadu,Chennai,Convenience Store,summer,243.11,2,21.0,225,173,5,119.65
2025-04-12,IN-SKU-10072,Personal Care,Kerala,Kozhikode,Supermarket,summer,776.34,36,124.0,361,150,6,132.67
2024-05-07,IN-SKU-10073,Electronics,Kerala,Kochi,Supermarket,summer,2969.6,11,122.0,307,105,8,158.78
2024-11-30,IN-SKU-10074,FMCG,Telangana,Warangal,Convenience Store,festival,449.0,16,230.0,258,144,9,253.96
2023-08-29,IN-SKU-10075,Perishables,Kerala,Thiruvananthapuram,Supermarket,monsoon,72.51,5,25.0,201,85,6,129.32
2024-05-07,IN-SKU-10076,Home Care,Kerala,Kozhikode,Hypermarket,summer,270.64,39,289.0,114,97,5,265.23
2023-12-02,IN-SKU-10077,Personal Care,Karnataka,Mysuru,Convenience Store,winter,311.48,30,92.0,148,85,9,184.22
2023-03-08,IN-SKU-10078,Home Care,Karnataka,Bengaluru,Hypermarket,summer,399.09,32,318.0,289,124,10,268.04
2023-10-20,IN-SKU-10079,Staples,Tamil Nadu,Chennai,Supermarket,festival,440.02,7,306.0,225,150,4,308.23
2025-10-25,IN-SKU-10080,FMCG,Delhi NCR,Noida,Supermarket,festival,62.2,4,156.0,226,80,10,230.07
2025-07-22,IN-SKU-10081,FMCG,Maharashtra,Pune,Convenience Store,monsoon,120.91,15,110.0,177,111,10,166.07
2023-11-14,IN-SKU-10082,FMCG,Maharashtra,Pune,Hypermarket,festival,238.14,35,119.0,192,100,2,249.23
2024-08-03,IN-SKU-10083,Perishables,Telangana,Hyderabad,Hypermarket,monsoon,,13,88.0,152,145,5,144.29
2024-06-26,IN-SKU-10084,FMCG,Kerala,Kozhikode,Supermarket,summer,92.36,29,295.0,23,57,2,283.78
2023-06-18,IN-SKU-10085,Perishables,Maharashtra,Nagpur,Convenience Store,summer,173.45,25,274.0,21,111,8,303.66
2024-05-16,IN-SKU-10086,Home Care,Maharashtra,Nagpur,Supermarket,summer,695.59,31,156.0,261,175,7,199.8
2025-03-15,IN-SKU-10087,Home Care,Tamil Nadu,Chennai,Convenience Store,summer,224.96,13,144.0,147,130,6,158.35
2025-03-17,IN-SKU-10088,FMCG,Kerala,Thiruvananthapuram,Convenience Store,summer,328.86,0,241.0,146,156,4,218.51
2023-09-16,IN-SKU-10089,Personal Care,Maharashtra,Nagpur,Supermarket,monsoon,486.13,5,317.0,21,80,3,261.91
2024-09-25,IN-SKU-10090,Electronics,Karnataka,Bengaluru,Online,monsoon,15315.08,5,206.0,129,69,3,74.99
2023-05-25,IN-SKU-10091,Home Care,Telangana,Hyderabad,Supermarket,summer,479.13,27,89.0,369,159,3,130.56
2023-07-23,IN-SKU-10092,Personal Care,Karnataka,Mysuru,Convenience Store,monsoon,536.23,16,247.0,413,141,4,200.63
2025-10-30,IN-SKU-10093,Staples,Maharashtra,Mumbai,Hypermarket,festival,101.91,32,286.0,178,133,8,349.07
2024-01-30,IN-SKU-10094,FMCG,Delhi NCR,Delhi,Online,winter,413.72,7,83.0,207,91,4,151.6
2024-12-08,IN-SKU-10095,Home Care,Kerala,Thiruvananthapuram,Convenience Store,winter,604.58,21,190.0,61,104,10,174.67
2025-08-01,IN-SKU-10096,FMCG,Tamil Nadu,Coimbatore,Convenience Store,monsoon,44.6,4,313.0,170,178,3,247.32
2024-11-20,IN-SKU-10097,Personal Care,Kerala,Thiruvananthapuram,Convenience Store,festival,403.68,13,200.0,394,122,2,209.77
2024-01-06,IN-SKU-10098,FMCG,Kerala,Thiruvananthapuram,Supermarket,winter,319.09,16,121.0,401,48,2,153.29
2024-06-02,IN-SKU-10099,Perishables,Tamil Nadu,Coimbatore,Supermarket,summer,68.3,36,176.0,207,52,6,235.46
2023-01-10,IN-SKU-10100,Personal Care,Kerala,Kochi,Hypermarket,winter,152.98,39,95.0,137,63,4,190.05
2025-04-26,IN-SKU-10101,Electronics,Delhi NCR,Delhi,Online,summer,2614.34,40,61.0,141,172,5,116.87
2025-06-13,IN-SKU-10102,Staples,Delhi NCR,Noida,Supermarket,summer,198.22,25,68.0,360,59,6,150.69
2025-03-21,IN-SKU-10103,Perishables,Telangana,Warangal,Convenience Store,summer,220.81,15,82.0,396,126,2,149.72
2025-03-07,IN-SKU-10104,Home Care,Maharashtra,Pune,Supermarket,summer,357.09,10,154.0,118,70,2,181.44
2024-09-21,IN-SKU-10105,Staples,Delhi NCR,Noida,Supermarket,monsoon,193.1,13,68.0,396,49,4,138.91
2023-12-26,IN-SKU-10106,Staples,Karnataka,Bengaluru,Hypermarket,winter,307.91,20,59.0,70,93,5,183.71
2025-07-03,IN-SKU-10107,Staples,Delhi NCR,Delhi,Supermarket,monsoon,198.18,6,29.0,67,96,9,135.42
2025-09-30,IN-SKU-10108,Perishables,Karnataka,Bengaluru,Hypermarket,monsoon,68.68,19,316.0,347,64,9,246.33
2025-07-08,IN-SKU-10109,Perishables,Maharashtra,Nagpur,Supermarket,monsoon,,37,258.0,269,133,2,260.83
2025-06-25,IN-SKU-10110,Staples,Telangana,Hyderabad,Convenience Store,summer,46.4,37,318.0,132,82,6,288.27
2025-05-24,IN-SKU-10111,Personal Care,Maharashtra,Pune,Hypermarket,summer,834.36,6,115.0,310,100,7,132.82
2024-12-22,IN-SKU-10112,Electronics,Karnataka,Bengaluru,Hypermarket,winter,5497.39,19,223.0,358,178,2,165.87
2023-11-14,IN-SKU-10113,Electronics,Delhi NCR,Noida,Hypermarket,festival,18700.88,30,110.0,399,93,3,113.66
2024-03-08,IN-SKU-10114,Personal Care,Kerala,Kozhikode,Hypermarket,summer,821.95,23,145.0,278,70,4,156.03
2024-05-23,IN-SKU-10115,FMCG,Kerala,Kochi,Convenience Store,summer,307.04,5,218.0,27,86,8,222.79
2023-06-28,IN-SKU-10116,Perishables,Tamil Nadu,Coimbatore,Convenience Store,summer,53.63,35,102.0,75,148,9,205.85
2025-09-29,IN-SKU-10117,Staples,Delhi NCR,Noida,Convenience Store,monsoon,621.52,8,203.0,122,145,7,195.2
2025-02-25,IN-SKU-10118,Personal Care,Delhi NCR,Gurugram,Supermarket,winter,396.05,16,282.0,264,174,8,244.48
2025-07-17,IN-SKU-10119,Staples,Delhi NCR,Delhi,Hypermarket,monsoon,427.48,13,120.0,117,154,9,183.19
2023-12-13,IN-SKU-10120,Home Care,Delhi NCR,Noida,Convenience Store,winter,590.94,40,164.0,202,129,2,184.51
2024-11-25,IN-SKU-10121,Staples,Telangana,Hyderabad,Hypermarket,festival,177.41,10,264.0,364,84,7,292.08
2023-02-12,IN-SKU-10122,Home Care,Kerala,Thiruvananthapuram,Supermarket,winter,598.81,32,54.0,176,60,7,127.19
2025-11-02,IN-SKU-10123,Personal Care,Maharashtra,Mumbai,Online,festival,883.89,17,40.0,75,171,7,148.8
2024-06-05,IN-SKU-10124,FMCG,Delhi NCR,Delhi,Online,summer,108.19,27,147.0,240,113,3,218.88
2025-05-22,IN-SKU-10125,Electronics,Karnataka,Bengaluru,Hypermarket,summer,3253.7,40,238.0,410,60,8,239.02
2023-07-14,IN-SKU-10126,Personal Care,Kerala,Kochi,Hypermarket,monsoon,721.47,2,269.0,348,167,8,207.53
2023-09-15,IN-SKU-10127,Staples,Tamil Nadu,Coimbatore,Online,monsoon,132.06,32,283.0,58,168,7,283.39
2023-11-04,IN-SKU-10128,FMCG,Maharashtra,Pune,Hypermarket,festival,356.47,2,30.0,280,90,2,166.39
2023-01-29,IN-SKU-10129,Home Care,Maharashtra,Mumbai,Hypermarket,winter,628.86,35,47.0,177,102,2,151.07
2023-12-25,IN-SKU-10130,Home Care,Tamil Nadu,Chennai,Hypermarket,winter,326.5,20,85.0,103,129,5,169.32
2025-04-12,IN-SKU-10131,FMCG,Maharashtra,Pune,Online,summer,200.38,7,317.0,74,160,8,287.88
2025-10-02,IN-SKU-10132,Electronics,Kerala,Kochi,Online,festival,5909.42,35,86.0,282,108,7,138.12
2023-01-08,IN-SKU-10133,Home Care,Karnataka,Mysuru,Convenience Store,winter,97.81,22,34.0,260,170,6,124.75
2023-11-13,IN-SKU-10134,Home Care,Kerala,Kochi,Convenience Store,festival,338.2,31,101.0,228,62,8,178.96
2024-12-01,IN-SKU-10135,FMCG,Tamil Nadu,Coimbatore,Supermarket,winter,406.22,2,213.0,88,150,8,232.19
2025-06-28,IN-SKU-10136,FMCG,Kerala,Kozhikode,Supermarket,summer,278.1,38,78.0,291,85,6,156.76
2024-03-30,IN-SKU-10137,FMCG,Telangana,Hyderabad,Supermarket,summer,392.02,17,116.0,164,91,3,195.22
2024-01-11,IN-SKU-10138,FMCG,Telangana,Warangal,Online,winter,420.81,25,49.0,62,146,8,131.7
2024-03-22,IN-SKU-10139,Home Care,Maharashtra,Mumbai,Convenience Store,summer,432.46,34,319.0,37,104,3,275.52
2024-05-28,IN-SKU-10140,Home Care,Delhi NCR,Delhi,Supermarket,summer,735.68,23,169.0,217,116,4,176.83
2025-06-01,IN-SKU-10141,FMCG,Kerala,Kozhikode,Supermarket,summer,115.18,23,50.0,366,152,10,175.18
2024-12-31,IN-SKU-10142,Personal Care,Kerala,Thiruvananthapuram,Online,winter,843.53,17,137.0,151,149,8,169.5
2024-02-25,IN-SKU-10143,Staples,Kerala,Kochi,Supermarket,winter,254.17,27,133.0,57,116,2,207.91
2025-11-27,IN-SKU-10144,Staples,Kerala,Kozhikode,Convenience Store,festival,200.74,8,268.0,391,176,6,281.3
2025-12-23,IN-SKU-10145,Perishables,Maharashtra,Pune,Online,winter,170.53,38,21.0,35,128,10,196.53
2023-04-02,IN-SKU-10146,Home Care,Maharashtra,Pune,Hypermarket,summer,392.06,30,21.0,334,121,6,130.1
2025-12-19,IN-SKU-10147,Perishables,Kerala,Kozhikode,Supermarket,winter,221.48,23,168.0,234,74,3,197.7
2025-05-17,IN-SKU-10148,Personal Care,Delhi NCR,Noida,Online,summer,374.55,7,50.0,344,97,3,113.26
2024-11-30,IN-SKU-10149,Staples,Delhi NCR,Noida,Hypermarket,festival,297.66,24,55.0,337,163,3,212.34
2025-02-12,IN-SKU-10150,FMCG,Telangana,Warangal,Hypermarket,winter,227.43,35,227.0,85,123,5,266.7
2025-05-16,IN-SKU-10151,Staples,Karnataka,Bengaluru,Hypermarket,summer,174.67,1,61.0,95,122,6,131.32
2024-07-15,IN-SKU-10152,Home Care,Delhi NCR,Delhi,Online,monsoon,134.09,16,,368,178,7,193.51
2023-05-27,IN-SKU-10153,Staples,Kerala,Thiruvananthapuram,Online,summer,625.02,1,32.0,302,72,7,98.43
2024-03-02,IN-SKU-10154,Home Care,Maharashtra,Mumbai,Supermarket,summer,120.08,38,270.0,82,171,2,266.11
2025-08-12,IN-SKU-10155,Staples,Karnataka,Mysuru,Supermarket,monsoon,631.1,16,113.0,95,151,4,146.09
2023-08-08,IN-SKU-10156,Personal Care,Maharashtra,Nagpur,Online,monsoon,879.75,35,272.0,397,93,7,229.04
2023-11-26,IN-SKU-10157,Electronics,Karnataka,Bengaluru,Online,festival,19927.33,22,,202,106,8,73.97
2023-08-02,IN-SKU-10158,FMCG,Kerala,Kochi,Convenience Store,monsoon,220.12,3,299.0,264,157,3,234.45
2025-07-31,IN-SKU-10159,FMCG,Telangana,Hyderabad,Hypermarket,monsoon,423.51,40,313.0,114,50,9,276.49
2025-10-19,IN-SKU-10160,Staples,Maharashtra,Mumbai,Online,festival,370.02,8,207.0,100,152,7,297.45
2024-12-15,IN-SKU-10161,Perishables,Delhi NCR,Gurugram,Supermarket,winter,78.74,38,151.0,398,128,5,226.37
2023-05-16,IN-SKU-10162,Perishables,Karnataka,Bengaluru,Convenience Store,summer,194.94,7,150.0,111,154,3,199.23
2025-02-22,IN-SKU-10163,FMCG,Delhi NCR,Noida,Hypermarket,winter,250.61,7,172.0,194,171,2,188.57
2024-07-15,IN-SKU-10164,FMCG,Kerala,Kozhikode,Convenience Store,monsoon,129.61,17,211.0,40,127,8,244.95
2024-06-25,IN-SKU-10165,FMCG,Delhi NCR,Delhi,Online,summer,304.0,19,254.0,191,166,8,273.31
2025-04-24,IN-SKU-10166,Personal Care,Karnataka,Bengaluru,Convenience Store,summer,866.89,14,131.0,190,125,8,138.03
2023-02-20,IN-SKU-10167,FMCG,Tamil Nadu,Chennai,Convenience Store,winter,89.43,18,79.0,270,95,5,160.76
2025-03-13,IN-SKU-10168,Electronics,Telangana,Warangal,Supermarket,summer,6056.19,4,107.0,231,89,5,105.34
2023-07-05,IN-SKU-10169,Perishables,Tamil Nadu,Coimbatore,Hypermarket,monsoon,58.33,7,102.0,143,78,5,151.97
2025-06-27,IN-SKU-10170,Staples,Tamil Nadu,Chennai,Convenience Store,summer,497.53,2,264.0,199,72,2,198.43
2024-01-08,IN-SKU-10171,Staples,Kerala,Kochi,Hypermarket,winter,190.76,7,245.0,145,68,10,229.81
2023-01-16,IN-SKU-10172,Perishables,Kerala,Kozhikode,Supermarket,winter,218.42,12,299.0,219,94,2,236.8
2024-11-14,IN-SKU-10173,Electronics,Delhi NCR,Gurugram,Online,festival,22296.2,25,158.0,52,147,5,63.62
2024-05-28,IN-SKU-10174,Staples,Kerala,Thiruvananthapuram,Hypermarket,summer,551.15,16,,110,141,10,119.6
2025-04-24,IN-SKU-10175,Electronics,Delhi NCR,Noida,Supermarket,summer,11635.45,35,100.0,262,155,8,84.22
2025-12-26,IN-SKU-10176,FMCG,Karnataka,Mysuru,Supermarket,winter,59.05,12,304.0,181,148,7,262.81
2025-01-05,IN-SKU-10177,Home Care,Telangana,Warangal,Supermarket,winter,691.9,7,62.0,291,85,8,95.88
2025-11-18,IN-SKU-10178,Perishables,Telangana,Hyderabad,Hypermarket,festival,132.45,39,95.0,330,149,8,234.1
2025-03-19,IN-SKU-10179,FMCG,Delhi NCR,Noida,Convenience Store,summer,447.54,8,31.0,103,73,9,119.62
2025-04-21,IN-SKU-10180,Home Care,Maharashtra,Mumbai,Hypermarket,summer,206.52,16,78.0,184,121,3,131.76
2024-07-30,IN-SKU-10181,Electronics,Karnataka,Mysuru,Hypermarket,monsoon,11681.74,28,297.0,118,54,4,189.83
2025-11-28,IN-SKU-10182,FMCG,Maharashtra,Pune,Supermarket,festival,227.49,19,106.0,338,70,4,222.41
2024-11-28,IN-SKU-10183,Perishables,Telangana,Warangal,Supermarket,festival,265.39,11,140.0,109,170,6,222.09
2023-10-08,IN-SKU-10184,Personal Care,Maharashtra,Mumbai,Convenience Store,festival,237.18,6,295.0,360,127,5,269.72
2024-07-27,IN-SKU-10185,Perishables,Maharashtra,Nagpur,Convenience Store,monsoon,217.59,35,58.0,332,61,7,140.11
2025-12-04,IN-SKU-10186,Staples,Kerala,Kochi,Convenience Store,winter,541.41,35,244.0,135,128,3,205.71
2023-12-05,IN-SKU-10187,Staples,Karnataka,Mysuru,Hypermarket,winter,521.07,20,293.0,118,152,10,263.33
2023-10-05,IN-SKU-10188,Home Care,Karnataka,Mysuru,Online,festival,563.63,7,295.0,413,66,9,239.82
2024-12-23,IN-SKU-10189,FMCG,Kerala,Kochi,Hypermarket,winter,398.35,40,105.0,335,114,2,175.24
2024-06-10,IN-SKU-10190,Home Care,Delhi NCR,Noida,Supermarket,summer,486.26,12,217.0,351,171,4,166.64
2025-10-02,IN-SKU-10191,Staples,Tamil Nadu,Chennai,Supermarket,festival,255.71,23,279.0,32,146,9,339.46
2025-08-08,IN-SKU-10192,Perishables,Maharashtra,Pune,Online,monsoon,213.98,30,285.0,106,85,8,249.34
2025-05-25,IN-SKU-10193,FMCG,Telangana,Warangal,Online,summer,329.66,9,210.0,317,95,2,232.84
2023-05-15,IN-SKU-10194,FMCG,Kerala,Kochi,Online,summer,371.88,26,124.0,251,176,2,164.79
2023-07-05,IN-SKU-10195,Perishables,Delhi NCR,Noida,Supermarket,monsoon,75.06,37,47.0,68,70,3,176.71
2023-04-07,IN-SKU-10196,Home Care,Maharashtra,Mumbai,Convenience Store,summer,598.86,5,209.0,372,100,2,166.24
2025-10-25,IN-SKU-10197,Perishables,Tamil Nadu,Chennai,Hypermarket,festival,64.13,18,258.0,124,150,5,304.48
2025-05-26,IN-SKU-10198,Personal Care,Delhi NCR,Noida,Online,summer,125.31,13,249.0,143,72,9,211.54
2024-12-13,IN-SKU-10199,Staples,Delhi NCR,Delhi,Supermarket,winter,380.34,12,206.0,264,105,4,209.3
2023-12-25,IN-SKU-10200,Personal Care,Tamil Nadu,Coimbatore,Supermarket,winter,435.34,27,142.0,54,103,2,171.94
2025-07-01,IN-SKU-10201,Home Care,Tamil Nadu,Coimbatore,Hypermarket,monsoon,589.48,9,161.0,219,117,10,163.73
2025-10-16,IN-SKU-10202,Personal Care,Kerala,Kozhikode,Convenience Store,festival,120.35,21,174.0,212,135,5,218.3
2024-09-02,IN-SKU-10203,Staples,Kerala,Kozhikode,Supermarket,monsoon,176.23,39,48.0,20,124,3,170.21
2024-08-13,IN-SKU-10204,Staples,Tamil Nadu,Coimbatore,Supermarket,monsoon,614.35,1,70.0,270,99,10,111.75
2023-12-04,IN-SKU-10205,Perishables,Kerala,Kochi,Online,winter,150.05,31,246.0,359,111,3,244.08
2025-03-06,IN-SKU-10206,Perishables,Telangana,Hyderabad,Convenience Store,summer,278.32,10,317.0,230,59,2,229.37
2024-03-16,IN-SKU-10207,Staples,Delhi NCR,Delhi,Online,summer,228.44,8,151.0,414,77,10,180.26
2024-09-29,IN-SKU-10208,Perishables,Tamil Nadu,Coimbatore,Hypermarket,monsoon,165.8,11,171.0,274,122,3,207.62
2025-06-04,IN-SKU-10209,FMCG,Kerala,Thiruvananthapuram,Supermarket,summer,387.97,13,153.0,111,52,10,166.25
2023-07-13,IN-SKU-10210,FMCG,Maharashtra,Nagpur,Convenience Store,monsoon,149.14,12,39.0,41,46,8,129.02
2023-01-25,IN-SKU-10211,Personal Care,Delhi NCR,Delhi,Hypermarket,winter,432.0,6,41.0,341,106,5,122.56
2024-08-23,IN-SKU-10212,Staples,Telangana,Warangal,Supermarket,monsoon,167.69,37,217.0,309,64,9,225.65
2025-08-12,IN-SKU-10213,Staples,Kerala,Thiruvananthapuram,Hypermarket,monsoon,180.77,12,33.0,160,59,8,132.64
2023-12-23,IN-SKU-10214,Personal Care,Kerala,Thiruvananthapuram,Convenience Store,winter,740.84,26,233.0,61,51,3,182.75
2025-01-31,IN-SKU-10215,FMCG,Telangana,Hyderabad,Hypermarket,winter,206.78,1,73.0,349,63,2,164.58
